c2,c3,16798.00140510204,7850.3162343325785
c2,c4,16809.98097755102,7856.45339054748
c2,c5,16824.78942755102,7867.74066690479
c2,c6,16838.00032653061,7876.23879519103
c2,c7,16722.038980612244,7645.242739071325
c2,c8,16747.317940816327,7672.57090066688
c2,c9,16766.621186734694,7684.535306476478
c2,c10,16774.24351428571,7667.529601881703
c2,cJ,16799.436352040815,7670.266406670813
c2,cQ,16830.763679591837,7667.6081358221845
c2,cK,16870.380292857142,7657.9993928960575
c2,cA,16922.939763265305,7643.764632419898
c2,d2,24639.67149387755,8572.874363761672
c2,d3,16377.593241836736,6707.1725751649465
c2,d4,16389.572814285715,6715.104725316212
c2,d5,16404.381264285716,6729.232198573411
c2,d6,16417.592163265304,6739.987200488265
c2,d7,16301.120613265308,6470.47652576062
c2,d8,16326.399573469387,6504.20867011317
c2,d9,16345.702819387754,6519.153481377354
c2,d10,16353.325146938776,6498.784192774661
c2,dJ,16378.517984693877,6502.245936803164
c2,dQ,16409.8453122449,6498.91878316479
c2,dK,16449.461925510204,6486.832465176383
c2,dA,16502.021395918367,6468.70933715938
c2,h2,24639.67149387755,8572.874363761672
c2,h3,16377.593241836736,6707.1725751649465
c2,h4,16389.572814285715,6715.104725316212
c2,h5,16404.381264285712,6729.232198573411
c2,h6,16417.592163265308,6739.987200488265
c2,h7,16301.120613265308,6470.47652576062
c2,h8,16326.399573469387,6504.208670113169
c2,h9,16345.702819387754,6519.153481377354
c2,h10,16353.325146938776,6498.78419277466
c2,hJ,16378.517984693877,6502.245936803164
c2,hQ,16409.8453122449,6498.91878316479
c2,hK,16449.461925510204,6486.832465176383
c2,hA,16502.021395918367,6468.70933715938
c2,s2,24639.67149387755,8572.874363761672
c2,s3,16377.593241836736,6707.1725751649465
c2,s4,16389.57281428571,6715.104725316212
c2,s5,16404.381264285716,6729.232198573412
c2,s6,16417.592163265304,6739.987200488265
c2,s7,16301.120613265308,6470.47652576062
c2,s8,16326.39957346939,6504.20867011317
c2,s9,16345.702819387754,6519.153481377354
c2,s10,16353.325146938772,6498.784192774661
c2,sJ,16378.517984693877,6502.245936803164
c2,sQ,16409.8453122449,6498.918783164789
c2,sK,16449.461925510204,6486.832465176383
c2,sA,16502.021395918367,6468.70933715938
c3,c4,16957.06146836735,8104.693312492156
c3,c5,16972.779102040815,8116.917112467731
c3,c6,16985.080817346938,8123.36737899126
c3,c7,16869.11947142857,7901.760126361511
c3,c8,16762.47802346939,7684.492035525341
c3,c9,16781.96310612245,7696.736584196689
c3,c10,16803.677780612245,7705.035520137171
c3,cJ,16832.23459795919,7713.824191148069
c3,cQ,16847.742129591836,7682.549110540232
c3,cK,16887.540579591838,7673.193079969696
c3,cA,16939.918213265308,7658.550752073994
c3,d2,16377.593241836736,6707.1725751649465
c3,d3,24754.426053061223,8581.848958470418
c3,d4,16537.163509183676,7003.941470083348
c3,d5,16552.881142857143,7019.023111664121
c3,d6,16565.182858163265,7027.2135103068695
c3,d7,16448.711308163263,6771.687691987401
c3,d8,16341.559656122448,6519.245842668145
c3,d9,16361.04473877551,6534.519773870454
c3,d10,16382.759413265307,6544.886324586053
c3,dJ,16411.316230612247,6555.677683776044
